Proj. Date,Product,Line,NewBuss,Amount,,Real Estate C1,,TSC1CS
2026-02-28 00:00:00,Cancer,TSC1,E,111869.2076,,,,
2026-02-28 00:00:00,Cancer,TSC1,N,183.7653,,,,
2026-02-28 00:00:00,Cancer,TSC2,E,877452.6379532584,,,,
2026-02-28 00:00:00,Cancer,TSC2,N,1403.4883,,,,
2026-02-28 00:00:00,Cancer,TSC3,E,28596.865861893766,,,,
2026-02-28 00:00:00,Cancer,TSC4a,E,29190.5343,,,,
2026-02-28 00:00:00,Cancer,TSC4a,N,48.676,,,,
2026-02-28 00:00:00,Cancer,TSLR016,E,16296.4839,,,,
2026-02-28 00:00:00,Cancer,TSLR016,N,26.7698,,,,
2026-02-28 00:00:00,Dental,TSC1,E,52526.66549999999,,,,
2026-02-28 00:00:00,Dental,TSC1,N,724.6412,,,,
2026-02-28 00:00:00,Dental,TSC2,E,942136.5176,,,,
2026-02-28 00:00:00,Dental,TSC2,N,4440.102,,,,
2026-02-28 00:00:00,Dental,TSC3,E,11301.08527217505,,,,
2026-02-28 00:00:00,Dental,TSC4a,E,102562.71789999999,,,,
2026-02-28 00:00:00,Dental,TSC4a,N,483.3574,,,,
2026-02-28 00:00:00,Dental,TSLR016,E,7651.7922,,,,
2026-02-28 00:00:00,Dental,TSLR016,N,105.562,,,,
2026-02-28 00:00:00,FHLB,TSC0,E,1821172.7562737903,,,,
2026-02-28 00:00:00,FHLB,TSC1,E,1425370.2086730853,,,,
2026-02-28 00:00:00,Final Expense,TSC1,E,0,,,,
2026-02-28 00:00:00,Final Expense,TSC2,E,0,,,,
2026-02-28 00:00:00,Final Expense,TSC3,E,0,,,,
2026-02-28 00:00:00,Final Expense,TSC4a,E,843914.313,,,,
2026-02-28 00:00:00,Hospital Indemnity,TSC1,E,214610.7263,,,,
2026-02-28 00:00:00,Hospital Indemnity,TSC1,N,11607.0579,,,,
2026-02-28 00:00:00,Hospital Indemnity,TSC2,E,1713644.9279999998,,,,
2026-02-28 00:00:00,Hospital Indemnity,TSC2,N,34601.0704,,,,
2026-02-28 00:00:00,Hospital Indemnity,TSC3,E,41902.88466496725,,,,
2026-02-28 00:00:00,Hospital Indemnity,TSC4a,E,233943.16840000002,,,,
2026-02-28 00:00:00,Hospital Indemnity,TSC4a,N,4723.6649,,,,
2026-02-28 00:00:00,Hospital Indemnity,TSLR016,E,31263.2974,,,,
